"celltype","injury","time","contrast","n_genes","r","rho","neuronal"
"PEP1","SpNT",72,"SNI",11709,0.351010552751983,0.296697947627692,TRUE
"PEP1","SpNT",168,"MINP",11709,-0.0275902914486235,-0.0217953495851924,TRUE
"PEP1","SpNT",168,"SNI",11709,0.313088016457363,0.24323113909347,TRUE
"PEP1","CFA",48,"MINP",11709,-0.0120102899783046,0.0148485388947811,TRUE
"PEP1","CFA",48,"SNI",11709,0.00821926254508851,-0.00767335673247497,TRUE
"PEP1","Paclitaxel",168,"MINP",11709,-0.0133065533413785,-0.0315980635123952,TRUE
"PEP1","Paclitaxel",168,"SNI",11709,0.0113453970696663,0.0402206499529154,TRUE
"PEP2","Crush",6,"MINP",10008,-0.0290560958936472,-0.0451185064947334,TRUE
"PEP2","Crush",6,"SNI",10008,0.0576954448232473,0.0407924340973985,TRUE
"PEP2","Crush",24,"MINP",10008,-0.0312284518784824,-0.00386704987711736,TRUE
"PEP2","Crush",24,"SNI",10008,0.188526059352784,0.124081928531361,TRUE
"PEP2","Crush",72,"MINP",10008,-0.00461161237896567,0.0817212816711441,TRUE
"PEP2","Crush",72,"SNI",10008,0.4109823661775,0.237203309335403,TRUE
"PEP2","Crush",168,"MINP",10008,-0.0182851681462836,0.0558881208656285,TRUE
"PEP2","Crush",168,"SNI",10008,0.465142019418838,0.299953004649497,TRUE
"PEP2","Crush",336,"MINP",10008,-0.0064438456142325,0.0755590565409988,TRUE
"PEP2","Crush",336,"SNI",10008,0.30302194817388,0.123123707549014,TRUE
"PEP2","Crush",672,"MINP",10008,0.00626897539503992,0.0930690935630829,TRUE
"PEP2","Crush",672,"SNI",10008,0.309016911635496,0.129151930426972,TRUE
"PEP2","Crush",1440,"MINP",10008,-0.0186503768109015,0.027278865976763,TRUE
"PEP2","Crush",1440,"SNI",10008,0.0907864179485543,0.00125830543907223,TRUE
"PEP2","Crush",2160,"MINP",10008,-0.0234915626533232,-0.0139103587552335,TRUE
"PEP2","Crush",2160,"SNI",10008,0.0312306435253881,0.012282599529199,TRUE
"PEP2","ScNT",6,"MINP",10008,0.00911437205651337,0.0341439474063454,TRUE
"PEP2","ScNT",6,"SNI",10008,0.0253698973293934,-0.00501707255938425,TRUE
"PEP2","ScNT",12,"MINP",10008,-0.0206336620489394,0.00203396861609432,TRUE
"PEP2","ScNT",12,"SNI",10008,0.100405179209991,0.0739754487198125,TRUE
"PEP2","ScNT",24,"MINP",10008,-0.00299619026616694,0.0456559192060324,TRUE
"PEP2","ScNT",24,"SNI",10008,0.19140162555538,0.117936667117575,TRUE
"PEP2","ScNT",72,"MINP",10008,-0.0215568212319735,0.0441361678548259,TRUE
"PEP2","ScNT",72,"SNI",10008,0.375381265417784,0.256126963957836,TRUE
"PEP2","ScNT",168,"MINP",10008,-0.00950969281630136,0.0723571384126435,TRUE
"PEP2","ScNT",168,"SNI",10008,0.375548306973573,0.232948239724407,TRUE
"PEP2","ScNT",672,"MINP",10008,-0.0277599796350348,0.0373369758032732,TRUE
"PEP2","ScNT",672,"SNI",10008,0.376531414736292,0.245369915773732,TRUE
"PEP2","ScNT",1440,"MINP",10008,-0.0284353294965693,-0.0445787371589801,TRUE
"PEP2","ScNT",1440,"SNI",10008,0.0830579837319234,0.0646106073108166,TRUE
"PEP2","SpNT",6,"MINP",10008,-0.0107122704680491,-0.023080713112449,TRUE
"PEP2","SpNT",6,"SNI",10008,0.118288624943686,0.111250269899371,TRUE
"PEP2","SpNT",12,"MINP",10008,-0.0334781772016162,-0.0456157410119175,TRUE
"PEP2","SpNT",12,"SNI",10008,0.217989244428791,0.184136336432959,TRUE
"PEP2","SpNT",24,"MINP",10008,-0.0111001416933628,0.0525378783952302,TRUE
"PEP2","SpNT",24,"SNI",10008,0.354475725867652,0.276651234409531,TRUE
"PEP2","SpNT",36,"MINP",10008,-0.0147126536982676,0.0217619896725567,TRUE
"PEP2","SpNT",36,"SNI",10008,0.390462789706717,0.32232804039883,TRUE
"PEP2","SpNT",48,"MINP",10008,-0.0228429590109641,0.00234524424187372,TRUE
"PEP2","SpNT",48,"SNI",10008,0.403731538270516,0.342883952519577,TRUE
"PEP2","SpNT",72,"MINP",10008,0.000171984630758292,0.0612372223060779,TRUE
"PEP2","SpNT",72,"SNI",10008,0.435857511471006,0.349479528906706,TRUE
"PEP2","SpNT",168,"MINP",10008,0.00536426560380714,0.0592131523667149,TRUE
"PEP2","SpNT",168,"SNI",10008,0.366370887527218,0.267939919545961,TRUE
"PEP2","CFA",48,"MINP",10008,0.0309700094913585,0.0611932688367547,TRUE
"PEP2","CFA",48,"SNI",10008,-0.0324703427780207,-0.0547428550019693,TRUE
"PEP2","Paclitaxel",168,"MINP",10008,0.00127921331625886,-0.0390360098053134,TRUE
"PEP2","Paclitaxel",168,"SNI",10008,-0.00714630042065924,0.0121062909536824,TRUE
"NF1","Crush",6,"MINP",10125,0.0184291666093956,0.0256535522106373,TRUE
"NF1","Crush",6,"SNI",10125,-0.0225995435694433,-0.0562692702108778,TRUE
"NF1","Crush",24,"MINP",10125,-0.0263887414176037,0.0269061852476437,TRUE
"NF1","Crush",24,"SNI",10125,0.255540537965488,0.13279224550052,TRUE
"NF1","Crush",72,"MINP",10125,-0.0528774777186804,0.0199636116034349,TRUE
"NF1","Crush",72,"SNI",10125,0.38481121998423,0.183514394397891,TRUE
"NF1","Crush",168,"MINP",10125,-0.104533913750462,-0.0575120662273007,TRUE
"NF1","Crush",168,"SNI",10125,0.430276419740109,0.24660427538244,TRUE
"NF1","Crush",336,"MINP",10125,0.00559732818632523,0.0556901274813846,TRUE
"NF1","Crush",336,"SNI",10125,0.149879455729506,-0.00455522682618791,TRUE
"NF1","Crush",672,"MINP",10125,0.0114122771220999,0.0645886988325623,TRUE
