"celltype","inj","time","n","pct"
"NF3","ScNT",0,374,0.267379679144385
"NP","ScNT",0,3042,0.591715976331361
"p_cLTMR2","ScNT",0,562,1.06761565836299
"PEP1","ScNT",0,1759,1.70551449687322
"PEP2","ScNT",0,812,0.369458128078818
"Pericyte","ScNT",0,171,1.16959064327485
"Satglia","ScNT",0,1552,1.28865979381443
"Schwann_M","ScNT",0,1075,0.558139534883721
"Schwann_N","ScNT",0,658,3.64741641337386
"SST","ScNT",0,659,1.82094081942337
"cLTMR1","ScNT",6,61,1.63934426229508
"Endothelial","ScNT",6,59,0
"Fibroblast","ScNT",6,100,1
"NF1","ScNT",6,90,1.11111111111111
"NF2","ScNT",6,74,1.35135135135135
"NP","ScNT",6,210,0.476190476190476
"p_cLTMR2","ScNT",6,46,2.17391304347826
"PEP1","ScNT",6,145,9.6551724137931
"PEP2","ScNT",6,69,1.44927536231884
"Satglia","ScNT",6,91,0
"Schwann_M","ScNT",6,76,1.31578947368421
"Schwann_N","ScNT",6,83,3.6144578313253
"SST","ScNT",6,60,1.66666666666667
"cLTMR1","ScNT",12,194,31.9587628865979
"Endothelial","ScNT",12,164,3.04878048780488
"Fibroblast","ScNT",12,236,6.77966101694915
"NF1","ScNT",12,212,10.377358490566
"NF2","ScNT",12,202,15.3465346534653
"NP","ScNT",12,658,12.0060790273556
"p_cLTMR2","ScNT",12,107,14.9532710280374
"PEP1","ScNT",12,401,34.9127182044888
"PEP2","ScNT",12,153,15.6862745098039
"Pericyte","ScNT",12,51,11.7647058823529
"Satglia","ScNT",12,147,3.40136054421769
"Schwann_M","ScNT",12,193,4.14507772020725
"Schwann_N","ScNT",12,253,11.0671936758893
"SST","ScNT",12,134,3.73134328358209
"cLTMR1","ScNT",24,32,62.5
"Endothelial","ScNT",24,42,11.9047619047619
"Fibroblast","ScNT",24,38,7.89473684210526
"NF1","ScNT",24,35,37.1428571428571
"NP","ScNT",24,193,41.4507772020725
"p_cLTMR2","ScNT",24,46,19.5652173913043
"PEP1","ScNT",24,184,34.7826086956522
"PEP2","ScNT",24,78,26.9230769230769
"Satglia","ScNT",24,42,7.14285714285714
"Schwann_M","ScNT",24,37,10.8108108108108
"Schwann_N","ScNT",24,32,21.875
"SST","ScNT",24,58,6.89655172413793
"cLTMR1","ScNT",72,130,52.3076923076923
"Endothelial","ScNT",72,161,19.8757763975155
"Fibroblast","ScNT",72,208,21.1538461538462
"Macrophage","ScNT",72,76,28.9473684210526
"NF1","ScNT",72,78,70.5128205128205
